Expense Clustering Analysis
==========================

     Category  Amount  Cluster
    Transport  403.84        0
     Shopping  314.35        2
       Health  308.34        2
        Bills  150.25        1
Miscellaneous   18.22        1
    Education  451.18        0
       Health   64.25        1
    Education  146.39        1
    Transport  426.19        0
        Bills    6.65        1
Miscellaneous  340.59        0
        Bills  188.40        2
Miscellaneous   71.99        1
        Bills  361.92        0
     Shopping  173.64        2
Entertainment  259.49        2
    Education  288.41        2
    Transport  462.03        0
    Transport  387.69        0
    Education  167.27        1
     Shopping  108.34        1
       Health  359.55        0
       Health  193.28        2
Entertainment  492.28        0
         Food  293.06        2
     Shopping  161.13        1
       Health  474.81        0
       Health  455.61        0
         Food  436.69        0
    Transport  274.29        2
Miscellaneous  382.67        0
Entertainment  281.80        2
    Education  173.26        2
Miscellaneous   42.09        1
    Education  410.87        0
        Bills  264.61        2
        Bills   87.32        1
         Food  359.02        0
Entertainment  474.80        0
     Shopping   23.55        1
    Transport  303.16        2
        Bills  317.53        2
    Education   70.02        1
     Shopping  480.08        0
    Transport  288.07        2
       Health   36.18        1
     Shopping  209.31        2
     Shopping  337.63        2
     Shopping  140.74        1
       Health  275.49        2
       Health  262.77        2
    Education  459.15        0
Miscellaneous   28.37        1
Miscellaneous   61.23        1
       Health  464.80        0
Miscellaneous  211.79        2
    Transport  304.79        2
       Health  382.88        0
    Education   72.41        1
       Health  215.61        2
       Health  114.79        1
        Bills  167.93        1
     Shopping  441.75        0
    Transport   14.45        1
        Bills  288.94        2
Entertainment  122.17        1
         Food   80.87        1
        Bills  331.17        2
     Shopping  232.08        2
Miscellaneous  357.69        0
        Bills  200.50        2
        Bills  333.87        2
         Food  443.18        0
    Transport  417.77        0
       Health   77.94        1
         Food  140.09        1
     Shopping   16.40        1
    Education  430.02        0
     Shopping  398.11        0
    Transport  252.32        2
     Shopping  205.95        2
        Bills  306.38        2
Miscellaneous  221.30        2
       Health  325.56        2
         Food  495.31        0
     Shopping  464.91        0
     Shopping  204.41        2
       Health  178.60        2
         Food   20.63        1
         Food   76.14        1
        Bills  121.26        1
Entertainment  194.01        2
     Shopping  274.27        2
Miscellaneous   65.50        1
Entertainment  389.45        0
        Bills  359.88        0
       Health  222.22        2
       Health  126.93        1
Miscellaneous  190.71        2
     Shopping  470.53        0
    Education   48.23        1
        Bills  249.20        2
        Bills   20.57        1
Entertainment   83.24        1
       Health  468.05        0
Entertainment   71.58        1
Entertainment  167.42        1
    Education  223.17        2
    Transport  449.44        0
Entertainment  305.49        2
    Education  228.16        2
Entertainment  219.64        2
     Shopping  473.24        0
       Health   70.20        1
        Bills  336.96        2
       Health   15.20        1
        Bills   18.24        1
     Shopping  165.02        1
Miscellaneous  422.17        0
    Transport  318.76        2
Entertainment  416.08        0
    Education   78.15        1
    Transport  120.56        1
         Food  127.16        1
       Health  273.58        2
Entertainment  165.46        1
Miscellaneous  467.62        0
         Food  230.81        2
       Health  133.38        1
    Transport   51.88        1
Entertainment  485.67        0
Entertainment  240.19        2
        Bills  483.20        0
    Transport  434.86        0
Miscellaneous  475.43        0
Miscellaneous  349.10        0
    Transport   64.47        1
     Shopping  208.43        2
    Education   25.40        1
     Shopping  242.06        2
     Shopping  383.80        0
    Education   36.70        1
    Education  499.57        0
        Bills   47.11        1
    Education  436.28        0
Miscellaneous  318.26        2
        Bills  377.24        0
       Health  398.82        0
    Education    9.54        1
     Shopping  236.29        2
     Shopping  179.91        2
    Education   33.93        1
Miscellaneous  178.00        2
    Transport  444.86        0
    Education  343.91        0
     Shopping   83.88        1
Entertainment  422.18        0
Entertainment   96.55        1
Entertainment  370.45        0
    Transport   42.85        1
Entertainment   22.12        1
Entertainment  206.26        2
         Food  312.41        2
Miscellaneous  188.74        2
     Shopping   23.94        1
         Food  161.17        1
       Health  215.30        2
     Shopping  461.59        0
       Health  241.91        2
    Transport   62.95        1
    Transport  298.73        2
         Food  283.45        2
Miscellaneous   13.67        1
    Transport  343.98        0
Entertainment   89.30        1
Miscellaneous  264.18        2
         Food  309.27        2
     Shopping   77.64        1
Miscellaneous   64.54        1
       Health   14.05        1
       Health  446.79        0
Entertainment  260.09        2
     Shopping  244.99        2
       Health  293.48        2
     Shopping  354.19        0
       Health  468.09        0
        Bills  297.05        2
     Shopping  398.12        0
    Education  440.89        0
     Shopping  409.39        0
Entertainment  410.21        0
       Health    8.60        1
         Food  192.15        2
    Transport  424.19        0
    Transport  318.05        2
         Food  100.54        1
        Bills  345.28        0
       Health  276.11        2
    Transport  148.31        1
        Bills  495.27        0
Miscellaneous   34.79        1
         Food  246.24        2
         Food  360.50        0
         Food   71.16        1
         Food  212.89        2
Entertainment  432.10        0
     Shopping  131.31        1
Miscellaneous  267.72        2
    Education  110.94        1
         Food  430.10        0
    Transport  121.09        1
    Transport  278.90        2
     Shopping  484.29        0
     Shopping  131.60        1
Entertainment   95.52        1
    Education  397.62        0
    Education   14.23        1
     Shopping  268.48        2
       Health   63.36        1
Miscellaneous  147.25        1
         Food  418.53        0
       Health  166.28        1
     Shopping  351.98        0
Entertainment  390.50        0
        Bills  186.99        2
    Transport  396.72        0
Miscellaneous  448.64        0
     Shopping  412.76        0
    Transport  147.30        1
    Transport   64.28        1
Entertainment  323.46        2
        Bills  394.56        0
Entertainment  398.85        0
         Food  463.89        0
    Transport  317.49        2
    Transport  475.74        0
    Transport  362.57        0
    Education  181.90        2
     Shopping  231.72        2
Miscellaneous  243.35        2
       Health  187.03        2
     Shopping  164.25        1
        Bills  262.86        2
Entertainment  314.17        2
       Health   46.90        1
    Education  403.41        0
         Food   49.53        1
        Bills  330.46        2
       Health   55.57        1
       Health  269.96        2
        Bills  189.96        2
    Transport   36.67        1
Entertainment  474.87        0
    Education  387.12        0
        Bills  217.75        2
    Transport   83.11        1
Entertainment  344.74        0
     Shopping  127.10        1
    Transport  301.21        2
     Shopping  232.01        2
         Food   55.64        1
       Health  213.95        2
    Education  318.19        2
    Education  223.51        2
    Education  428.00        0
       Health  430.36        0
     Shopping  246.77        2
        Bills  169.17        1
Entertainment  108.21        1
    Transport  361.57        0
    Education   96.17        1
     Shopping  312.32        2
         Food  361.37        0
    Education  478.75        0
        Bills  135.97        1
Entertainment  189.27        2
         Food    8.54        1
     Shopping  113.32        1
       Health  195.78        2
    Education  186.83        2
     Shopping  157.50        1
        Bills  279.52        2
         Food  327.20        2
Miscellaneous  419.06        0
Miscellaneous  223.48        2
        Bills   54.31        1
    Education  137.16        1
    Education   63.29        1
         Food  319.08        2
Entertainment  239.49        2
         Food  328.27        2
    Transport  373.89        0
    Education  292.91        2
     Shopping  122.17        1
Miscellaneous  288.23        2
         Food  138.30        1
Entertainment  329.27        2
         Food  372.90        0
        Bills  258.60        2
         Food  304.97        2
    Transport  245.55        2
        Bills  460.87        0
    Transport  433.53        0
    Transport  407.16        0
       Health  298.34        2
Entertainment  254.60        2
        Bills  307.40        2
Miscellaneous   50.13        1
    Transport  307.20        2
    Education   81.33        1
         Food  183.62        2
Miscellaneous  279.79        2
         Food  371.81        0
    Education  495.21        0
       Health  368.20        0
    Transport  283.69        2
Miscellaneous  357.59        0
     Shopping  406.68        0
Miscellaneous  411.26        0
    Education  287.22        2
        Bills   83.04        1
    Transport  470.06        0
Entertainment   88.73        1
Miscellaneous   30.36        1
        Bills  187.84        2
     Shopping   37.22        1
         Food   58.05        1
Miscellaneous  342.48        0
         Food  429.94        0
