Date,Category,Amount,Payment Method,Description
2024-11-06,Transport,403.84,Online,Music record always single instead.
2024-07-10,Shopping,314.35,Cash,Million college happy action station culture expect pressure.
2024-07-13,Health,308.34,Card,General smile son conference hundred.
2024-09-16,Bills,150.25,Card,Tonight get eight great third.
2025-02-13,Miscellaneous,18.22,Cash,Order respond growth million research address probably arrive.
2025-01-20,Education,451.18,Cash,Ten all result month.
2025-03-13,Health,64.25,Cash,Read fill them I.
2024-10-01,Education,146.39,Cash,Big perform ready food right nearly.
2024-12-31,Transport,426.19,Card,Check happy actually blood treatment social production.
2024-06-02,Bills,6.65,Online,Food before simple magazine because second.
2025-03-21,Miscellaneous,340.59,Card,Of PM those use dream dream.
2024-07-09,Bills,188.4,Cash,Career product daughter use.
2024-10-31,Miscellaneous,71.99,Online,Move factor draw financial no network.
2024-04-03,Bills,361.92,Cash,Huge be enter down scene right.
2025-02-10,Shopping,173.64,Cash,Mrs laugh recent operation.
2024-07-19,Entertainment,259.49,Online,Movement natural film market career.
2025-01-14,Education,288.41,Card,Not see resource party rock.
2024-04-28,Transport,462.03,Cash,Respond talk present firm international improve.
2024-04-15,Transport,387.69,Cash,Theory reach consumer protect.
2024-12-04,Education,167.27,Cash,Your remember positive chair stock near soldier.
2025-02-20,Shopping,108.34,Card,Civil baby agree practice move exactly space partner.
2024-04-17,Health,359.55,Online,Himself director federal north.
2024-07-17,Health,193.28,Cash,Father poor born black nearly quickly instead.
2024-10-07,Entertainment,492.28,Cash,Accept newspaper mission color role rule drop now.
2024-12-12,Food,293.06,Card,Resource them front wind not.
2024-09-16,Shopping,161.13,Online,Discover I little keep oil create opportunity.
2024-12-27,Health,474.81,Online,Keep skill election cover finally foreign fine.
2024-08-16,Health,455.61,Cash,Total cause task ready.
2025-01-09,Food,436.69,Online,Military action continue be hundred environment they.
2025-01-25,Transport,274.29,Online,Evening who tend deep few process wind face.
2025-03-10,Miscellaneous,382.67,Online,Debate image admit when crime consider.
2024-10-21,Entertainment,281.8,Online,Surface water store they success order information administration.
2025-02-21,Education,173.26,Card,Interesting car big business themselves.
2025-01-17,Miscellaneous,42.09,Cash,Environmental level Democrat population base prove.
